user_id,friends_count
27111967,1566
271179281,0
271531588,49
271643557,0
27266704,429
272689541,36
27282834,3138
273333085,1698
273506534,2623
27368477,5627
27377306,3310
27410966,48
274127782,1189
27420349,917
274328206,6548
27455424,5909
27473643,1544
27528616,3886
275413557,96
275585434,852
275862456,207
276113532,102
276798593,4
27709708,1595
277434037,33
277598065,735
277694415,5400
27783402,0
27787064,28946
27824604,566
278362905,0
27845818,249
278561100,15
278646938,3875
27914127,780
279234818,5556
279241836,171
279246474,471
279459977,5452
279596487,604
279695141,11708
27991183,1308
28066028,44581
28104195,810
281290956,24224
28137498,44
28139070,11433
28162811,108703
282169473,741
282183239,16934
282380315,1342
28256303,6074
28293679,2817
28357791,2
2840431,1017
284227382,598
284771672,4594
28500249,40182
285200956,1513
285309173,556
285453892,6
285625011,109
285777193,0
285826830,198
285992918,1523
28620644,836
286391647,764
28675838,157
286880213,243505
28729253,1934
287368258,9355
287495632,4520
28822135,1649
288598548,27
288962354,1631
288999062,1954
28900021,4340
289245668,688
289888727,268
290295826,30981
29064898,1166
2907609595,756
29162330,44
291633977,191
292120360,217
292438005,857
292647979,99
29282051,2989
292992148,234
293056297,134
293058063,1435
29363591,12239
29383056,1284
29397541,3132
29426444,594
294268480,1257
29441764,1572
294546043,855
29457601,26863
29467174,1342
29494653,2044
295128920,1106
29548043,5069
295745714,12391
295762270,70406
29602803,3419
296221520,747
296880648,564
296882884,24753
296994629,6466
297568502,81
297657144,872
298059951,818
298118398,5575
298120441,46447
298127374,0
29835642,596
298360391,1395
29894251,635
299002333,288
29904275,399
299382055,0
29953742,172
299665981,200
300052861,225
300077407,0
30040682,762
30056672,753
30060132,2527
30099987,153
30118962,72
301225220,766
301355940,0
301453260,0
301645208,235
301715615,489
30171708,624
301785848,6281
30181026,1
301978838,213
302123233,359
302273224,14
302328722,1253
302339516,213
30316138,3045
30326696,3219
303930018,182
304117141,172
305218956,190
305435414,184
30576467,156190
305905043,599
305933249,1435
30603851,4298
307003398,1994
30754429,96
30775658,3458
30817847,1192
3083971,27
308475513,9502
308658346,4442
30938952,443
30944711,8464
30950886,593
30983941,775
309909647,2278
31033695,125600
310786424,187118
310867681,731
31132759,1076
311507784,171
311934556,504
312359226,1
31236002,753
312452851,19
312456720,54205
312722751,674
313481830,9026
31348594,27
31432267,1844
31471217,6753
31512368,746
31569621,988
31636483,32
31647040,0
31648128,274
316689615,92
316795578,2284
317727793,220
31877796,944
319293993,26
320056143,45
320202923,13655
320307523,40107
320368877,40004
321235029,1511
321313779,519
321536444,565
32160850,274
322381311,2014
32241842,950
32255657,15759
323172159,553
32370124,128
323728920,61
323894111,702
324426491,115
324481883,183
324896218,468
324955521,10819
324978824,526
32534378,713
325553281,614
325618087,680
32614065,25527
326322095,551
327373040,1296
327695157,0
328176292,372
32830897,74512
328321256,0
32848178,738
328652340,1108
328683122,371
328986215,189
329120416,44
32920077,29342
33019280,572
33019559,92
330594743,982
331020555,19
33109387,270
331355188,6958
331914357,28
33197261,1785
332366145,29689
33248874,22479
332742591,28
332798665,2789
333092284,310
333842379,835
33411947,1680
334297027,188
335100981,24185
336110109,12661
336113447,0
336725419,841
336957898,22
33733640,407
33736331,0
337913781,235
33801019,242
33802437,572
338240032,991
338362329,532
338594191,790
338723523,722
338836048,6035
338908433,1330
339228380,129
33923443,4220788
33924834,1824
339328643,369
33969182,355
339799979,65440
339873203,463
34006363,434
340122051,1532
34048549,226
340751599,68207
34075932,4271
34167897,106
341720701,3741
34197952,243
342304513,1745
