user_id,friends_count
1008291979,240
1008302043449217024,44
1008305138300223489,1315
100830721,529
100831326,4275
1008322432170676224,12
1008325819,4
1008326401,2302
1008331640,406
1008333511,435
1008345612360847361,882
1008348096,168
1008372314,89
1008378474,648
1008382820,1348
1008384817,599
1008385010070708224,741
1008388449462833153,808
100839013,1171
1008390228040667136,2995
1008392934,647
1008397705759068160,4659
100839851,503
100839879,112
1008400194285776896,1085
1008400434,1830
1008400513,215
1008405866,11
1008407814031794182,890
100841751,141
1008422960141463552,993
1008425358792843265,2205
100842956,221
100844212,1818
1008442398,744
1008446906,301
100844934,345
1008451916,163
1008460758,435
1008465833046298625,1477
1008469516131667968,532
100846973,14704
1008480295,1494
1008486386,1178
1008492666,1336
1008501011588304897,32153
1008510270,614
1008513684,11
1008519822278381568,2
1008519950,817
1008523496,1106
1008524790,478
1008525438,2931
1008529176,0
1008539630,122
1008541766,1772
100855257,950
1008565502753599488,1652
1008570474,21
1008576002,489
1008600494,2961
1008601714419695616,1025
1008605971998965760,1096
100860790,2671
1008610182,376
1008613644211548161,3280
1008626299827519488,1321
1008626360,80
1008635734889246720,170
1008644380348043264,749
1008649894301782017,2175
100865180,1813
1008663259,531
1008663514049863680,1727
1008663977793146880,30775
100866799,277
1008670014302498816,2058
1008671118,401
1008673909,1932
1008678149520089089,1042
1008680423256453120,24
1008697012236308480,4641
1008704911,56
1008712742,525
1008713113,3335
1008729811295010816,160
1008739810339639296,919
1008750994291863557,3
1008758796947206145,1620
1008760625693122561,442
1008768200,2074
1008778308,843
1008781464962560005,833
1008783438,410
1008785886,54
1008787369,594
100878763,2443
1008791754,508
1008793418854813696,5981
1008801602,257
1008803682,2847
1008806545,5096
1008811568,433
1008816991,409
100883962,232
1008846302,286
1008856728,191
1008857880,92
1008863797,554
1008869648,7404
100887036,292
1008876198,1219
100887643,297
1008884610720260097,84
10088862,316
1008887948,31
1008891727850147840,126
1008902282,15
1008904871251202048,528
1008908474,4127
1008921955,39
1008929348,47
1008936127,4312
1008939038,381
1008940577491210241,82
1008943208,119
1008944936,103
1008949717,1049
1008949740,1232
1008950264,3812
100895378,1640
1008954296,418
1008958889822474241,1220
1008962936239460352,627
1008968745056964608,607
1008972736729776128,2145
1008979064256913408,1159
1008981710489489408,1512
1008988106,10
1008992022,355
100899208,337
1008994124,3090
1009000752,0
1009000960147025921,361
1009006866020683776,650
1009015850274304000,484
1009016863,4713
100901742,17
1009023948,487
1009026276,729
1009029074,348
1009029900,509
1009030424,629
1009031048762679296,117
1009031150,6986
1009032815483244544,27
1009034168628629504,108
1009038140378578944,332
1009039370316402688,591
1009042626,47
1009049990919000065,867
1009052033255690240,122
1009054861332238336,4
1009055091805081606,14323
1009056056,1518
1009056865,520
1009057220,203
1009059202344550402,0
1009060344193585152,56
1009066422,326
1009066921,431
1009067300,188
1009068364608737280,1145
1009068450,2441
1009070443,2691
1009072280,68
1009092498,1767
1009095692,1540
1009095848,34
1009102261811843074,350
1009120916603891713,1338
1009121876,4
100912576,43187
1009126892,1122
1009132767538446337,771
1009142806550589440,11
1009151804586823680,0
1009155426,147
1009155428,1798
100916037,389
1009166562803187712,110
1009167422778171395,688
1009169208255578112,598
1009176127,251
1009177578,171
1009181281,2458
100918828,34226
1009188816,475
1009201382555975680,1035
1009210902,237
1009217058,445
1009221464,4835
1009225098,1190
1009225911898689536,593
1009232995,426
1009238677,223
1009243501,1431
1009246463522693120,280
1009253520,355
100925545,2886
1009258243,105
1009270524,224
1009307082,100
1009334215,139
100934277,362
1009345039,15
1009350344,122
1009354187677855744,107
1009362391258288128,319
100936791,239
1009372310,358
1009391886786879488,225
1009392005674360832,2718
1009420195012792323,7744
1009422012,276
1009426356743102465,366
1009434816520097792,732
1009435513,17
1009437082769649664,2975
1009439834719637504,574
1009443992,28
1009444525754986496,24
1009449941541048320,26
1009463252,4394
1009472167,2011
1009476244319027200,3370
100947947,157
1009489369466630149,9686
1009496950524301321,377
1009497888,79
1009499047,0
1009501238935900166,820
1009512702,345
1009513600690675713,84
1009516523021619206,424
1009521324341985280,215
1009530181764157441,181
1009537143813955584,2253
1009543302,65
1009549765,152
1009555413283561472,146
1009555483,4680
1009563771361218567,2001
10095752,133
1009582501,537
1009584247,359
100958758,671
1009592004,94831
100959688,5000
100961915,2460
1009626624,229
1009631683,1828
1009633412,145
1009638450,1549
100964035,2572
1009650199,1
